Region_id,ZIP,City,Lat,Lng
206,9833,Rangersdorf,46.86237,12.96435
206,9863,Rennweg,47.0277,13.5869
206,9701,Rothenthurn,46.76444,13.60139
206,9751,Sachsenburg,46.82811,13.35061
206,9871,Seeboden,46.8192,13.52146
206,9800,Spittal an der Drau,46.79816,13.49586
206,9832,Stall,46.88768,13.0356
206,9754,Steinfeld,46.75764,13.24701
206,9852,Trebesing,46.88452,13.51101
206,9762,Weißensee,46.69652,13.33521
206,9841,Winklern,46.87072,12.87704
202,9500,Villach,46.61597,13.84873
202,9580,Villach-Drobollach am Faaker See,46.58604,13.9144
202,9523,Villach-Landskron,46.63206,13.88118
202,9524,Villach-St. Magdalen,46.61269,13.88819
202,9504,Villach-Warmbad Villach,46.59135,13.82772
207,9542,Afritz,46.72512,13.79833
207,9601,Arnoldstein,46.54941,13.70966
207,9543,Arriach,46.72954,13.85066
207,9530,Bad Bleiberg,46.62459,13.68593
207,9541,Einöde,46.70685,13.8217
207,9583,Faak am See,46.56611,13.90717
207,9710,Feistritz an der Drau,46.70235,13.66277
207,9613,Feistritz an der Gail,46.5738,13.60441
207,9544,Feld am See,46.77429,13.74634
207,9702,Ferndorf,46.73682,13.62543
207,9584,Finkenstein,46.56437,13.8697
207,9712,Fresach,46.71314,13.689
207,9586,Fürnitz,46.56127,13.81623
207,9585,Gödersdorf,46.56502,13.84816
207,9722,Gummern,46.65552,13.76837
207,9231,Köstenberg,46.64987,14.00965
207,9531,Kreuth,46.62637,13.61837
207,9582,Latschach,46.55739,13.92763
207,9581,Ledenitzen,46.56618,13.96619
207,9182,Maria Elend,46.53071,14.0829
207,9611,Nötsch,46.59017,13.62288
207,9711,Paternion,46.71235,13.63686
207,9587,Riegersdorf,46.54854,13.78004
207,9232,Rosegg,46.58864,14.01771
207,9183,Rosenbach,46.53329,14.03841
207,9520,Sattendorf,46.66446,13.91916
207,9536,St. Egyden,46.5757,14.06655
207,9612,St. Georgen im Gailtal,46.60346,13.59722
207,9184,St. Jakob im Rosental,46.54683,14.05793
207,9714,Stockenboi,46.72376,13.49347
207,9602,Thörl-Maglern,46.54238,13.65052
207,9521,Treffen,46.70685,13.8217
207,9220,Velden am Wörther See,46.61356,14.04183
207,9721,Weißenstein,46.68169,13.71851
207,9241,Wernberg,46.62321,13.93848
207,9713,Zlan,46.72969,13.57995
208,9135,Bad Eisenkappel,46.48599,14.59344
208,9150,Bleiburg,46.58485,14.79598
208,9103,Diex,46.74496,14.61705
208,9141,Eberndorf,46.59016,14.63901
208,9132,Gallizien,46.55968,14.50647
208,9142,Globasnitz,46.55726,14.70083
208,9112,Griffen,46.70383,14.73195
208,9111,Haimburg,46.695,14.6725
208,9125,Kühnsdorf,46.62271,14.63339
208,9133,Miklauzhof,46.53679,14.59638
208,9102,Mittertrixen,46.6985,14.58384
